task_identifier,task_description,task_app,golden_steps,task_difficulty,备注
z6fc0rbuz31urcru,"Open Contacts app, navigate to the Create contact page, then tap the 'Add picture' button to access contact photo options",['Contacts'],10,1,
ge1epiv2xayysbyx,"Open Contacts app, navigate to Create contact page, then enter a phone number in the Phone field to complete contact phone information",['Contacts'],10,1,
6lzt2rw5nepds5ea,"Open Contacts app, navigate to Fix & manage page, then tap on Blocked numbers to complete accessing blocked numbers management",['Contacts'],10,1,
7uot3plvr7h29m33,"Open Contacts app, navigate to the Settings page, then tap on Theme option to complete accessing theme customization",['Contacts'],10,1,
ajtaik8ucxlvkr7i,"Open Contacts app, navigate to Settings page, then change the theme from Light to Dark mode to complete the theme configuration",['Contacts'],10,1,
c6dphkh439wv9k4z,"Open Contacts app, navigate to the main contacts page, then tap on the 'Phone contacts' filter button to display only contacts with phone numbers",['Contacts'],10,1,
naegiyrx9ngpowhk,"Open Contacts app, navigate to Settings page, then access the Display section to complete viewing display configuration options",['Contacts'],10,1,
sadkr774937xj3al,"Open Contacts app, navigate to Fix & manage page, then tap on Blocked numbers to complete accessing call blocking features",['Contacts'],10,1,
6jqv7c5j62yul3ru,"Open Contacts app, navigate to Fix & manage page, then tap on Blocked numbers to access the blocked contacts management screen",['Contacts'],10,1,
8lgl3sjrbetup233,"Open Contacts app, navigate to the Fix & manage page, then tap on 'Blocked numbers' to view the blocked numbers list",['Contacts'],10,1,
4u0v5izhdzpjtpsy,"Open Contacts app, navigate to the Fix & manage page, then tap on 'Settings' option to access contact settings",['Contacts'],10,1,
k0ko73z6tumamg8e,"Open Contacts app, navigate to the main contacts list and tap the search bar at the top to activate search functionality",['Contacts'],10,1,
qxr9cr0fshmayq73,"Open Contacts app, navigate to the main contacts list page, then select a contact from the list to view their contact details page",['Contacts'],10,1,
oh386id2l4ej5zf0,"Open OsmAnd app, first navigate to Settings page, then configure Browse map profile by enabling Driving, Cycling, and Walking profiles and disable Truck profile to complete profile configuration",['OsmAnd'],30,3,
ksgas87b6g43bww1,"Open OsmAnd app, navigate to the main menu and access Settings, then go to OsmAnd settings and enable Analytics to allow data collection",['OsmAnd'],20,2,
ojw1mrfrmj43lfed,"Open OsmAnd app, first access the main menu and navigate to the Plugins section, then select and enable the Parking position plugin to activate location marking features",['OsmAnd'],20,2,
gb2bvaepl7y1nun2,"Open OsmAnd app, open the main menu, navigate to the Download maps section, then switch to the UPDATES tab to check for available map updates",['OsmAnd'],20,2,
phlz6bl8dy3siifa,"Open OsmAnd app, first navigate to OsmAnd settings page and turn off Analytics setting, then navigate to Configure map page and enable Transport overlay option to complete map display customization",['OsmAnd'],30,3,
fcoruhyipiwqq9nj,"Open file explorer, navigate to the net.osmand folder in the obb directory, then access the menu options and select 'Storage settings' to view storage configuration",['OsmAnd'],10,1,
lfjf4ws8vlz6fuqy,"Open OsmAnd app, navigate to Browse map Configure profile page, then access Export profile and select Settings checkbox to complete profile backup preparation",['OsmAnd'],20,2,
n6ekzldakw84txqi,"Open OsmAnd app, access the main menu, navigate to the Download maps section, then switch to the LOCAL tab to view locally stored maps",['OsmAnd'],20,2,
vt7xdnmancr56vms,"Open OsmAnd app, first create a route by adding two points on the map using Plan a route mode, then tap the 'Done' button to finish route creation",['OsmAnd'],10,1,
51c1q6oqe2utdusz,"Open OsmAnd app, navigate to Data storage folder page, then examine the storage capacities and switch from current selection to External storage 1 option",['OsmAnd'],20,2,
b01c36on8bri2tuu,"Open OsmAnd app, navigate to Browse map Configure profile page, then access Configure map section and enable Transport layer to complete map display configuration",['OsmAnd'],20,2,
scx2irhrus9dwjjp,"Open file explorer, access the obb folder, then tap on 'Storage settings' from the menu to check the SDCARD storage usage statistics",['OsmAnd'],10,1,
k03yfi5ctci1c49w,"Open OsmAnd app, navigate to Configure profile page, then access Configure map section and enable Transport layer to complete map visualization setup",['OsmAnd'],20,2,
55g2w7bwo59dgt2j,"Open OsmAnd app, navigate to Configure profile page, then access Export profile function and select Settings data for export to complete profile backup process",['OsmAnd'],20,2,
dc0rwkae2f3tfc83,"Open OsmAnd app, navigate to Data storage folder page, then change from the current External storage 1 selection to Multiuser storage 2 and verify the change",['OsmAnd'],20,2,
vfx0y3wjc3db4vx5,"Open OsmAnd app, first navigate to the Data storage folder page, select Internal app memory as the current storage option, then change to External storage 2, navigate back to the map view, and return to the Data storage folder page to verify the storage change was applied",['OsmAnd'],30,3,
xi3x98o1t7n012sp,"Open OsmAnd app, first navigate to Configure profile page, then access Configure map settings, enable Favorites display by toggling its switch to on, disable Transport layer by toggling its switch to off, enable Point Labels (POI, Favorites) by toggling its switch to on, and disable Tracks layer by toggling its switch to off to complete map layer customization",['OsmAnd'],30,3,
fdq8a6k6talk66jv,"Open OsmAnd app, navigate to Data storage folder page, first identify storage options with lowest capacity (0.5 GB), then select External storage 2 option, verify the path '/storage/0000-0000/Android/data/net.osmand/files', navigate back to the storage selection, and finally change to Multiuser storage 1 to complete the storage path configuration",['OsmAnd'],30,3,
igv1icksms56myl5,"Open OsmAnd app, first navigate to Configure profile page, then access Export profile action, select Settings data for export by enabling its checkbox, disable My Places and Resources data by unchecking their checkboxes, proceed with Continue button, handle any exit confirmation dialog by selecting appropriate action, and return to Configure profile page to complete selective profile data export configuration",['OsmAnd'],30,3,
ec3dsyqxk9od0qvt,"Open OsmAnd app, first navigate to Browse map profile configuration, then access Export profile option and select Settings and My Places for export, and confirm export by clicking Continue to complete profile backup",['OsmAnd'],30,3,
bby5n92lg47w2k7e,"Open OsmAnd app, first navigate to the Data storage folder page, select Internal app memory option, then switch to External storage 1, verify the change by checking the storage path details, navigate to the map view to test functionality, and return to storage settings to switch back to Internal app memory",['OsmAnd'],30,3,
qfvngrwybdyz5zfs,"Open OsmAnd app, navigate to Configure profile page, then tap on Configure map to access map appearance settings",['OsmAnd'],10,1,
erzebvemjdoi53zm,"Open OsmAnd app, navigate to Data storage folder page, then select External storage 2 option to change the storage location",['OsmAnd'],10,1,
s555nhixzbd2clet,"Open OsmAnd app, navigate to Data storage folder page, then select Multiuser storage 1 option to change the storage location",['OsmAnd'],10,1,
6jo0h96cw9vp4xsy,"Open OsmAnd app, navigate to the search function and switch from 'HISTORY' tab to 'CATEGORIES' tab to browse location categories",['OsmAnd'],10,1,
w6n4u9v4cbb0vs3v,"Open OsmAnd app, navigate to the Downloads section, then tap on the LOCAL tab to view locally stored maps",['OsmAnd'],10,1,
7oo5eken0kz1yojf,"Open OsmAnd app, navigate to Data storage folder page, then select Manually specified option to configure custom storage location",['OsmAnd'],10,1,
1orjtmp711qlxvtg,"Open OsmAnd app, navigate to Configure profile page, then tap on General settings to view app theme and units configuration",['OsmAnd'],10,1,
lnxig397cdhurd2n,"Open OsmAnd app, navigate to Configure profile page, then tap on Profile appearance to access icon and color customization",['OsmAnd'],10,1,
ad1kwtsso4o05cof,"Open OsmAnd app, navigate to the map view and tap the plus (+) button to open the zoom controls",['OsmAnd'],10,1,
ggoqbn0y3vbtav70,"Open OsmAnd app, navigate to Data storage folder page, then use the back arrow to return to the previous page",['OsmAnd'],10,1,
lmt54i7wn6m61wq6,"Open OsmAnd app, navigate to Data storage folder page, then select Internal app memory option and confirm the selection to change storage from current setting",['OsmAnd'],20,2,
hv44fc1lcmy9vv2w,"Open OsmAnd app, then navigate to the main menu and tap on Map markers to access the map markers section",['OsmAnd'],10,1,
t1np9b274lhx2621,"Open OsmAnd app, navigate to Configure profile page, then tap on Copy from another profile to select a different profile template",['OsmAnd'],10,1,
3bg6e6zjlvaztw3i,"Open OsmAnd app, then navigate to the main menu and tap on Search to access the search functionality",['OsmAnd'],10,1,
m8g2vxy5cfcbbnft,"Open OsmAnd app, navigate to the main menu by tapping the menu button, then tap on 'Plugins' to open the plugins page",['OsmAnd'],10,1,
26hdfm255e5bj04i,"Open OsmAnd app, first navigate to the main menu and open Plugins page, then scroll down to find the 'Weather' plugin option",['OsmAnd'],10,1,
st5kgn2l4hbgbawm,"Open OsmAnd app, navigate to Data storage folder page, then compare the free space between Multiuser storage 1 and Multiuser storage 2 options and select the one with higher available capacity",['OsmAnd'],20,2,
g6xp36p4qvacude3,"Open OsmAnd app, navigate to the map view, then tap on any location on the map to place a location marker",['OsmAnd'],10,1,
eijijvxwhmuysoys,"Open OsmAnd app, navigate to OsmAnd settings page, then navigate to Analytics section and enable analytics tracking to complete privacy settings configuration",['OsmAnd'],20,2,
8ww6hnu8jrgmqcep,"Open OsmAnd app, navigate to Browse map Configure profile page, then access the Configure map settings",['OsmAnd'],10,1,
r3aynn0icnfuc6ab,"Open OsmAnd app, navigate to Data storage folder page, then select Multiuser storage 2 option to change the storage location",['OsmAnd'],10,1,
817o5hf7zplk7gt7,"Open OsmAnd app, navigate to Configure profile page, then tap on Weather plugin settings to view weather configuration options",['OsmAnd'],10,1,
xl824jsqeehllfc3,"Open OsmAnd app, navigate to Settings page, then toggle the Auto-backup setting from On to Off to complete backup configuration",['OsmAnd'],10,1,
ngbrdwmi1rwsec5a,"Open OsmAnd app, navigate to Data storage folder page, then tap the Migration button in the Shared memory section",['OsmAnd'],10,1,
09jxagz88qs6cajj,"Open OsmAnd app, navigate to Data storage folder page, then select Internal app memory option to change the storage location",['OsmAnd'],10,1,
y5wmj2regp0xr6ji,"Open OsmAnd app, navigate to the SDCARD directory page, then tap the 'CREATE NEW FOLDER' button to access the folder creation dialog",['OsmAnd'],10,1,
7l30sknj0k5vpinm,"Open OsmAnd app, navigate to Settings page, then toggle the Analytics setting from Off to On to complete privacy settings configuration",['OsmAnd'],10,1,
e6dp7t6o1t24tl0x,"Open OsmAnd app, first search for any location to display search results, then tap 'SHOW ON MAP' button to view the location on the map",['OsmAnd'],10,1,
4xyk7dmi5kkkmgq1,"Open OsmAnd app, navigate to OsmAnd settings page, then access the Data storage folder option to view current storage configuration",['OsmAnd'],10,1,
pvti7o06kh4x9hy9,"Open OsmAnd app, navigate to Data storage folder page, then tap the back button to return to the previous screen",['OsmAnd'],10,1,
6g6oe5hgsd0ibkf2,"Open OsmAnd app, navigate to Data storage folder page, then scroll down to view all available storage options and select the Manually specified option at the bottom",['OsmAnd'],20,2,
